,Product title,Price,Deal image url,Recent sales,Description,Product rating,Seller location,Seller Rating,Product category
0,Lazo Cuerda Velocidad 3m Balinera Guaya Gym Crossfit Saltar,24900,https://http2.mlstatic.com/D_NQ_NP_663412-MCO48246032790_112021-O.webp,2934,"Cuerda para saltar profesional de alta velocidad de 3 metros, mangos ajustables con DOBLE BALERO, cable de acero trenzado ligero con forro de poliuretano térmico, soporta hasta 200 revoluciones por minuto.

Nuestra cuerda para saltar es la herramienta perfecta para ayudarte a incorporar ejercicios de cardio y resistencia a tu rutina diaria. Es ligera y con un diseño ergonómico, cuenta con mangos de agarre recubiertos de goma eva moldeable que se ajusta a tu mano, al mismo tiempo este material evita que se humedezca y se resbale a la hora de utilizarla.

El sistema de rodamiento de balero evita la torsión y doblado de la cuerda, asegurando una rotación estable y suave. Es ideal para rutinas prolongadas ya que permite un ritmo de salto fluido y veloz.

Está fabricada con los mejores materiales, pensados para ofrecer durabilidad y comodidad, cuenta con una cuerda de acero, recubierta con PVC grueso y flexible que garantiza una extensa vida útil y sin grietas. El largo de la cuerda se puede ajustar fácilmente para adaptarse a tu estatura sin problemas brindándote mayor comodidad.

Se adapta para ejercicios aeróbicos, saltos, fitness cruzado, MMA, boxeo, entrenamiento de velocidad, así como para el fortalecimiento de la pantorrilla, el muslo y el antebrazo, entrenamiento de piernas y resistencia.


100% CALIDAD PREMIUM: Fabricadas en acero trenzado inoxidable grado industrial y mangos de plástico resistente. Utilízalas con toda confianza ¡Está hechas para durar!

LISTA PARA UTILIZARSE: Desempácalas e inicia tu entrenamiento, viene lista para utilizarse.

*Garantía de 30 días únicamente en defectos de fábrica, no se aceptan productos sucios y/o maltratados. Deberá tener los empaques originales y presentar evidencia previa (fotos) para que se acredite, bajo inspección del departamento de atención al cliente que determinará si se realiza el cambio o la devolución.
",4.6,NaN,MercadoLíder Platinum,Deportes y Fitness
1,Bicicleta Montaña Todoterreno Rin 29 Shimano 21 Velocidades,749900,https://http2.mlstatic.com/D_NQ_NP_977924-MCO48951562509_012022-O.webp,2934,"Desafía tu lado aventurero con esta bicicleta de montaña Rin 29 UrbanFit Pro te aportará toda la energía que necesitas: quema calorías, despeja tu mente y olvídate del estrés al tiempo que cuidas tu salud.

Con esta bicicleta trabajarás cuádriceps, femorales, glúteos y pantorrillas de una manera cómoda. Posee un resistente marco de acero, para amortiguar todo tu viaje ofreciéndote una gran comodidad.

Esta bicicleta de montaña tiene un diseño resistente y ergonómico. Su manubrio de acero y cuadro de aluminio es ideal para realizar paseos en cualquier tipo de camino. Sus componentes crean una interfaz más eficaz entre bicicleta y ciclista que requiere menos energía.

A través de un sistema de cambio de bajo esfuerzo y sistemas de frenado de respuesta lineal, te ofrece una excelente potencia y modulación, para que puedas centrarte solamente en disfrutar de tu bicicleta.

UrbanFit Pro se convertirá en tu aliado perfecto de tu entrenamiento personal y en cada uno de tus viajes de aventura y montaña.

Colores disponibles: gris y azul.

Rin 29 pulgadas.
Shimano 1:1
Longitud del tubo del sillín: 43 cm
Peso: 22 kg
Neumático Kenda
Freno de disco
Horquilla delantera amortiguadora
Cadena de posicionamiento de velocidad variable

*Garantía únicamente en defecto de fábrica, no se aceptan productos sucios y/o maltratados. Deberá tener los empaques originales y presentar evidencia previa (fotos) para que se acredite, bajo inspección del departamento de atención al cliente que determinará si se realiza el cambio o la devolución.
",NaN,NaN,MercadoLíder Platinum,Bicicletas
2,Barra De Ejercicios Con Polea Gym + Saco Y Guantes De Mma,275908,https://http2.mlstatic.com/D_NQ_NP_652725-MCO46598875375_072021-O.webp,2487,"IMPORTANTE EL COLOR DE LOS COJINES ES ROJOS O NEGROS, NO VAN INSTALADOS PARA EVITAR QUE LLEGUEN AVERIADOS Y LAS PUNTAS DE LAS DOMINADAS SON INCLINADAS Y NO INCLUYE DISCOS DE PESAS.

SE ENVÍA CON 4 SOPORTES Y EL TUBO DONDE VAN LOS DISCOS SI ES STANDARD.

PROMOCIÓN RELÁMPAGO
APROVECHA SE AGOTAN

SOMOS MULTIFORCE FABRICANTES DIRECTOS

*Lee la información para poder garantizarte una experiencia totalmente positiva*
*Si vas a realizar la compra VERIFICA que tu dirección sea la correcta, una vez efectuada la compra NO se pueden cambiar datos*
**Si tienes preguntas no dudes en dejarlas abajo, con gusto las responderemos**
====================================================================
***PRODUCTO NUEVO**

Esta Barra con POLEA es una de las máquina habitual en un Gym, a la que no siempre sacamos todo el posible partido y Permite una amplia variedad de ejercicios y facilita el trabajo con cargas.

GUANTES MMA. están fabricados en material PVC tipo cuero sintético, cubre la parte externa de la mano protegiendo los nudillos, mientras que el interior de la mano permanece abierto para facilitar la ventilación y reducir la sudoración. Tiene elástico con velcro para ajustar a la muñeca.

Tamaño único, con aproximadamente 22 cm de largo sirve tanto para hombre como mujer.


Saco Profesional MULTIFORCE
El Saco profesional hecho en lona Brigadier, con reata negra.
Este saco es de 100 lbs o 50 kgs
cuenta con 4 correas de agarre mas un refuerzo para evitar desgarros en el material, con ganchos de acero y Mosque-ton de seguridad en aluminio. sus tamaños son ideales para entrenamientos en espacios reducidos.
Sus medidas son de 1 mt x 35 cm de diámetro solo el cuerpo, viene con reatas de 45 cm de largo e incluye el mosquete




- Variedad en el entrenamiento
- Óptimo desarrollo de las fibras musculares
- Mayor rango de movimiento
- Entrenamiento seguro
- Trabajo extra de abdominales
- Sentadillas, Fondos, Zancada, Remo con polea

Multipropósitos con poleas Entrenamiento:
- Espalda
- Bíceps
- Tríceps
- Dominadas
- Fondo
- Abdominales
- Gancho para saco de boxeo o Trx
- Soporta 300 libras
- Sistema de POLEAS ajustable sin herramientas
- No incluye discos de pesas
- LEVANTA 80 LIBRAS.

MEDIDAS:
- 110 Cm (Largo) X 60 Cm (Ancho)
",3.8,NaN,MercadoLíder Platinum,Deportes y Fitness
3,Kit De Pesas Ejercicio Mancuernas Juego De Pesas Termoforrad,159900,https://http2.mlstatic.com/D_NQ_NP_722903-MCO49006414022_022022-O.webp,3460,"Ahora realizar tu rutina de ejercicio será más fácil, ya que cuentas con una de las mejores set de mancuernas calidad/precio.

El entrenamiento con pesas es uno de los deportes de fuerza más eficaces y es también muy bueno en el área de la salud y buen estado físico, así como para la rehabilitación. Los músculos se fortalecen y simultáneamente se moldean con el uso de las pesas. Por lo tanto, un entrenamiento de pesas no tiene sólo un efecto deportivo sino también un efecto estético. Con el entrenamiento de pesas la grasa corporal se reduce más eficientemente que, por ejemplo, con el ciclismo, la natación o las salidas a correr.

Set de mancuernas de 20 kg con barra ergonómica y cierres en forma de estrella. Para un entrenamiento profesional de pesas en la casa.

Barras de pesas sólidas con una unión para convertir las 2 mancuernas en una barra larga y poder trabajar otros músculos

Superficies de agarre antideslizantes aprox. 40 cm cada una
Cierres de rosca/cierres de estrella con anillos plásticos para asegurar que los discos de pesas estén siempre firmemente unidas a las barras.

Asas antideslizantes - esto evitará que las manos se deslicen durante el entrenamiento
Cada una de las barras tienen dos roscas trapeciales robustas (para una fijación segura de los discos)

Discos de pesas termo forrados en plástico para proteger el suelo y la integridad estructural del disco (de esta manera, se evita también el ruido molesto cuando las pesas son puestas en el suelo).

En total son 12 discos, TODO SUMA 20KG
4 Discos de 2 KG
4 Discos de 1.5 KG
4 Discos de 1.25 KG
4 Seguros de Estrella
2 Mancuernas Antideslizantes (barras cortas, que juntas forman de 30- 35 cm APROXIMADAMENTE) + la barra conectora larga APROX de 50 cm. Todo mediría de 80-90 cms APROX. Pesa 1 kg.
",4.5,NaN,MercadoLíder Platinum,Deportes y Fitness
4,Bicicleta Spinning Con Monitor Frecuencia Cardiaca 13 Kgs,619900,https://http2.mlstatic.com/D_NQ_NP_607566-MCO50046955363_052022-O.webp,2123,"Home Sale trae para ti ®Bicicleta Spinning con Monitor Frecuencia Cardiaca 13 Kgs La bicicleta funciona con transmisión por correa y piñón fijo, que contribuye a desarrollar un pedaleo más silencioso, dinámico y fluido que el resto de bicicletas del mercado.

DISEÑO ERGONÓMICO, BICICLETA TOTALMENTE REGULABLE. El sillín y el manillar están recubiertos de espuma para un mayor agarre y comodidad. Tanto sillín como manillar son completamente regulables para que la bicicleta se adapte a ti.

NIVELES DE RESISTENCIA VARIABLES: ENTRENAMIENTO PERSONALIZADOS. Los niveles de resistencia permiten simular el recorrido en una superficie plana, en cuestas o en bajadas. A mayor resistencia, mayor esfuerzo y más consumo de energía y de calorías. Incorpora una rueda selectora de resistencia mediante la cual podrás regular la resistencia en función del esfuerzo deseado durante el ejercicio. Además, incluye un sistema de frenado de emergencia para evitar cualquier tipo de lesión.

CALAPIES SEGUROS Y RUEDAS PARA EL TRANSPORTE. El sistema de sujeción en los pedales mediante calapiés facilita el agarre del calzado. De esta forma el usuario podrá levantarse y sentarse las veces que quiera, así como realizar pedaleo de pie y con un ligero balanceo.
",3.9,NaN,MercadoLíder Platinum,Deportes y Fitness
5,Mancuernas Pesas 40kg 80lb Antideslizante Termoforradas Barr,244900,https://http2.mlstatic.com/D_NQ_NP_865715-MCO48775763099_012022-O.webp,2123,"Home Sale traen para ti esta espectacular Set de Mancuernas de 40 KG/80LB , ahora realizar tu rutina de ejercicio será más fácil, ya que cuentas con una de las mejores Set de Mancuernas calidad/precio. El entrenamiento con pesas es uno de los deportes de fuerza más eficaces y es también muy bueno en el área de la salud y buen estado físico, así como para la rehabilitación. Los músculos se fortalecen y simultáneamente se moldean con el uso de las pesas. Por lo tanto, un entrenamiento de pesas no tiene sólo un efecto deportivo sino también un efecto estético. Con el entrenamiento de pesas la grasa corporal se reduce más eficientemente que, por ejemplo, con el ciclismo, la natación o las salidas a correr.

Set de mancuernas de 40 kg con barra ergonómica y cierres en forma de estrella.Para un entrenamiento profesional de pesas en la casa.
Barras de pesas sólidas con una unión para convertir las 2 mancuernas en una barra larga y poder trabajar otros musculos
Superficies de agarre antideslizantes aprox. 40 cm cada una
Cierres de rosca/cierres de estrella con anillos plasticos para asegurar que los discos de pesas estén siempre firmemente unidas a las barras.
Asas antideslizantes - esto evitará que las manos se deslicen durante el entrenamiento
Cada una de las barras tienen dos roscas trapeciales robustas (para una fijación segura de los discos)
Discos de pesas termo forrados en plástico para proteger el suelo y la integridad estructural del disco (de esta manera, se evita también el ruido molesto cuando las pesas son puestas en el suelo).
4 Discos de 2,5 LB/ 1.25KG
4 Discos de 5 LB / 4 Discos 2,5 KG
8 Discos 6 LB / 8 Discos 3 KG
4 Seguros de Estrella
2 Mancuernas Antideslizante de 1LB/0.5 KG cada una (50cm por barra)
1 Conector para barra larga de 40 Cm (40 cm)
",4.3,NaN,MercadoLíder Platinum,Deportes y Fitness
6,"Barra Multifuncional Crossfit De Pared, Abdominales Y Etc",78213,https://http2.mlstatic.com/D_NQ_NP_854060-MCO46458186429_062021-O.webp,2487,"SOMOS MULTIFORCE FABRICANTES DIRECTOS.

SOPORTA 180 KILOS. Y A COMPRACION DE OTRAS SIMILARES ESTA TIENE 2 TUBOS O TRAVESAÑOS QUE KE DAN MAS ESTABILIDAD Y FUERZA

Incluye:
2 soportes a muro
4 chazos y tornillos
8 Puntos de agarre
Barra de ejercicio
Pintura Electrostatica y Espumas

Por favor leer detalladamente las características del producto y la información para el proceso de compra, esto le ayudará a tener una mejor experiencia de compra.

* Distribuidores en todo Colombia
*Productos originales y nuevos 100%
*Garantía de 24 meses
*DISPONIBLE Y ENTREGA RÁPIDA*
*Colores de los mangos sujetos a disponibilidad*

*Si vas a realizar la compra VERIFICA que tu dirección sea la correcta, una vez efectuada la compra NO se pueden cambiar datos*

*Si tienes preguntas no dudes en dejarlas abajo, con gusto las responderemos**
====================================================================
***PRODUCTO NUEVO***
¡ENVÍO COMPLETAMENTE GRATIS!



Nuestra barra multifuncional, te permitirá superar la barrera de tus entrenamientos, con ella podrás realizar trabajo de dominadas, fondos, etc con el mismo producto.

La gran ventaja que posee en comparación a productos similares es su resistencia, manejamos materiales y soldadura de primera calidad. Sistema práctico de anclaje en dos soportes apernados a muro, lo que permite reducir espacios si es necesario y rápido cambio de ejercicio de dominadas a fondos o viceversa, Argolla central para sacos de boxeo. Soporta 150 kilos.

Variados usos encontrarás en este producto
Ofrecemos una garantía de 36 meses por defecto de fábrica.


* * * IMPORTANTE * * *
Antes de dar click en comprar lee completamente la información del producto y las condiciones de pago y entrega
Recuerda usar la sección de preguntas para resolver tus inquietudes.

ATENCIÓN AL CLIENTE///////
Somos tienda virtual , fabricantes y distribuidores disponible las 24 horas para tus compras online.

«« FORMAS DE ENVÍO »»
En la parte derecha de esta publicación puedes ver las opciones de envío y cotizar su costo, selecciona el adecuado según tu la ciudad de destino.
Las compras que no incluyen Mercado Envíos se despachan por alguna de las transportadoras que tenemos disponibles a menos que nos indiques una transportadora de tu preferencia estos envíos se realizan a todas las ciudades del pais cuando se tenga el pago confirmado por Efecty o PSE y pago contraentrega unicamente en la ciudad de bogota , el costo depende del peso y volumen del paquete, ciudad de destino y está sujeto a la tabla de tarifas de cada transportadora, NO lo determinamos nosotros.
IMPORTANTE: Al ingresar los datos de envío debes verificarlos para evitar errores, ya que esto podría ocasionar la pérdida de tu producto (sin responsabilidad de nuestra parte, ya que el proceso de generación de guía es automático). Toda dirección debe contener la nomenclatura completa (calle, carrera, número, barrio, conjunto, etc)

«« TIEMPOS DE ENTREGA »»
Tres a cuatro días hábiles después de confirmado el pago, (el tiempo indicado por la página, en el caso de Mercado Envíos, es un estimado de Servientrega que tal vez no coincida con nuestra logística). Nuestro horario de corte es a las 2 p.m., si tu compra ingresa después se tomará como realizada al día siguiente.

«« MEDIOS DE PAGO »»
Todos tus pagos 100% seguros con Mercado Pago. Puedes elegir entre diferentes opciones: Efecty, Tarjeta de crédito o PSE
",4.6,NaN,MercadoLíder Platinum,Deportes y Fitness
7,Banda Trotadora Caminadora,627900,https://http2.mlstatic.com/D_NQ_NP_603395-MCO49293822009_032022-O.webp,3460,"LUBRICACIÓN POR ACEITE NO INCLUIDO.

La CAMINADORA TROTADORA MECÁNICA es la mejor opción para lograr resultados positivos, si su objetivo es: Bajar de peso, Tonificar, entrenar desde casa y tener una Vida Saludable. Con la Trotadora aumentará toda su capacidad cardiopulmonar mejorando su calidad de vida en grandes proporciones. La sensación al correr en esa trotadora será de plenitud y confianza al sentir la calidad de sus componentes y ergonomía.

ESTA TROTADORA MECÁNICA se encarga de diseñar comodidad y seguridad. Tiene sistema de lubricacion , Diseño plegable para ahorrar espacio

ESPECIFICACIONES TÉCNICAS

Panel: Tiempo
Medidas: 124 x 55 x 126
Embalaje: 1pcs / cartón
Capacidad de peso USUARIO : 130 kg
N.W / G.W: 24 kg
",NaN,NaN,MercadoLíder Platinum,Deportes y Fitness
0,Tenis Balenciaga Para Hombre Y Mujer Nueva Colección,75050,https://http2.mlstatic.com/D_NQ_NP_797660-MCO47179983236_082021-O.webp,245,"Antes de comprar, ten en cuenta:

1. Verifique que la selección del modelo, color y talla en su producto sean los correctos al momento de comprar.

2. Verifique que la dirección de domicilio configurada en su cuenta de Mercado Libre, sea la correcta, ya que los ENVÍOS GRATIS califican únicamente para la dirección antes mencionada, a través de SERVIENTREGA por sistema de MERCADOENVIOS.

3. El calzado viene en horma normal, tallaje exacto colombiano. Se realizan CAMBIOS únicamente por talla en el mismo modelo y color, el cliente corre con los gastos de envío para el cambio.

4.Antes de ofertar favor aclare sus dudas, cualquier inquietud preguntar antes de realizar la compra.

5.Nuestros productos son de fabricación nacional en materiales sintéticos de mano de obra Colombiana.

¡ANÍMATE A COMPRAR, SALUDOS!
",3.7,NaN,MercadoLíder Gold,Ropa y Accesorios
1,Camiseta Esqueleto Nike Dri-fit Basketball,169990,https://http2.mlstatic.com/D_NQ_NP_937629-MCO47604857296_092021-O.webp,1194,"PRODUCTO:

Nombre: Camiseta Esqueleto Nike Dri-FIT Basketball
Marca: Nike

DESCRIPCIÓN:

Elaborada en poliéster la cual garantiza una prenda de bajo peso y además ayuda a su perdurabilidad así mismo agrega tecnología Dri-FIT la cual consiste en una innovadora tela de poliéster diseñada para mantener la transpirabilidad absorbiendo el sudor y distribuyéndolo uniformemente por la superficie de la prenda, para que se evapore rápidamente de igual manera la tela en malla ayuda a una circulación interna del aire; Su diseño clásico cuenta con cuello redondo, reborde de las mangas y cuello para mayor comodidad, cobertura de longitud amplia y logo de la marca en la parte frontal estampado siendo una prenda ideal para juegos en Basquetbol.

CARACTERÍSTICAS PRINCIPALES:

-Tecnología Dri-FIT
-Tela de malla de punto
-Ajuste estándar
-Material: 100% poliéster

MÁS DETALLES:

Peso del paquete: 1 kg
Material: No
Modelo: BV9387-010
Meses de garantía: 1
Garantía: Por defectos de fábrica
Condición: Nuevo
Género: Masculino
SKU: BV9387-010_L
",NaN,NaN,MercadoLíder Platinum,Camisetas y Polos
